Institute,Program,Quota,Seat,Gender,Note,Code,Opening Rank (int),Closing Rank (int)
"Maharaja Agrasen Institute of Technology, Sector-22, Rohini, Delhi 4€"" 110085",Electrical & Electronics Engineering,HS,SC,Gender-Neutral,,SCNOHS,607678,1149172
"Maharaja Agrasen Institute of Technology, Sector-22, Rohini, Delhi 4€"" 110085",Electrical & Electronics Engineering,OS,OPEN,Gender-Neutral,,OPNOOS,67457,83363
"Maharaja Agrasen Institute of Technology, Sector-22, Rohini, Delhi 4€"" 110085",Electrical & Electronics Engineering,OS,SC,Gender-Neutral,,SCNOOS,290215,290215
"Maharaja Agrasen Institute of Technology, Sector-22, Rohini, Delhi 4€"" 110085",Electronics & Comm.- |Advance Comm. Technology,HS,OPEN,Gender-Neutral,Defence,OPDFHS,350977,356395
"Maharaja Agrasen Institute of Technology, Sector-22, Rohini, Delhi 4€"" 110085",Electronics & Comm.- |Advance Comm. Technology,HS,OPEN,Gender-Neutral,,OPNOHS,76396,76396
"Maharaja Agrasen Institute of Technology, Sector-22, Rohini, Delhi 4€"" 110085",Electronics & Comm.- |Advance Comm. Technology,HS,SC,Gender-Neutral,,SCNOHS,854744,1105499
"Maharaja Agrasen Institute of Technology, Sector-22, Rohini, Delhi 4€"" 110085",Electronics & Comm.- |Advance Comm. Technology,OS,OPEN,Gender-Neutral,,OPNOOS,59218,80577
"Maharaja Agrasen Institute of Technology, Sector-22, Rohini, Delhi 4€"" 110085",Electronics & Comm.- |Advance Comm. Technology,OS,SC,Gender-Neutral,,SCNOOS,339684,365112
"Maharaja Agrasen Institute of Technology, Sector-22, Rohini, Delhi 4€* 110085",Electronics & |Communication Engineering,HS,OPEN,Gender-Neutral,Defence,OPDFHS,164724,345667
"Maharaja Agrasen Institute of Technology, Sector-22, Rohini, Delhi 4€* 110085",Electronics & |Communication Engineering,HS,OPEN,Gender-Neutral,,OPNOHS,35180,138006
"Maharaja Agrasen Institute of Technology, Sector-22, Rohini, Delhi 4€* 110085",Electronics & |Communication Engineering,HS,OPEN (PwD),Gender-Neutral,,OPPHHS,1154095,1154095
"Maharaja Agrasen Institute of Technology, Sector-22, Rohini, Delhi 4€* 110085",Electronics & |Communication Engineering,HS,SC,Gender-Neutral,,SCNOHS,533857,879222
"Maharaja Agrasen Institute of Technology, Sector-22, Rohini, Delhi 4€* 110085",Electronics & |Communication Engineering,OS,OPEN,Gender-Neutral,,OPNOOS,61961,69754
"Maharaja Agrasen Institute of Technology, Sector-22, Rohini, Delhi 4€* 110085",Electronics & |Communication Engineering,OS,SC,Gender-Neutral,,SCNOOS,296822,296822
"Maharaja Agrasen Institute of Technology, Sector-22, Rohini, Delhi 4€* 110085",Electronics & |Communication Engineering,OS,ST,Gender-Neutral,,STNOOS,928899,928899
"Maharaja Agrasen Institute of Technology, Sector-22, Rohini, Delhi 4€"" 110085",Electronics Engg.- VLSI Design & Technology,HS,OPEN,Gender-Neutral,Defence,OPDFHS,382108,404202
"Maharaja Agrasen Institute of Technology, Sector-22, Rohini, Delhi 4€"" 110085",Electronics Engg.- VLSI Design & Technology,HS,OPEN,Gender-Neutral,,OPNOHS,55276,192391
"Maharaja Agrasen Institute of Technology, Sector-22, Rohini, Delhi 4€"" 110085",Electronics Engg.- VLSI Design & Technology,HS,SC,Gender-Neutral,,SCNOHS,869143,1090729
"Maharaja Agrasen Institute of Technology, Sector-22, Rohini, Delhi 4€"" 110085",Electronics Engg.- VLSI Design & Technology,OS,OPEN,Gender-Neutral,,OPNOOS,67620,78188
"Maharaja Agrasen Institute of Technology, Sector-22, Rohini, Delhi 4€"" 110085",Electronics Engg.- VLSI Design & Technology,OS,SC,Gender-Neutral,,SCNOOS,343037,363597
"Maharaja Agrasen Institute of Technology, Sector-22, Rohini, Delhi 4€"" 110085",Information Technology,HS,OPEN,Gender-Neutral,Defence,OPDFHS,199614,255584
"Maharaja Agrasen Institute of Technology, Sector-22, Rohini, Delhi 4€"" 110085",Information Technology,HS,OPEN,Gender-Neutral,,OPNOHS,89926,135548
"Maharaja Agrasen Institute of Technology, Sector-22, Rohini, Delhi 4€"" 110085",Information Technology,HS,SC,Gender-Neutral,,SCNOHS,456365,831551
"Maharaja Agrasen Institute of Technology, Sector-22, Rohini, Delhi 4€"" 110085",Information Technology,OS,OPEN,Gender-Neutral,Defence,OPDFOS,70054,314060
"Maharaja Agrasen Institute of Technology, Sector-22, Rohini, Delhi 4€"" 110085",Information Technology,OS,OPEN,Gender-Neutral,,OPNOOS,57787,67344
"Maharaja Agrasen Institute of Technology, Sector-22, Rohini, Delhi 4€"" 110085",Information Technology,OS,SC,Gender-Neutral,,SCNOOS,230982,304484
"Maharaja Agrasen Institute of Technology, Sector-22, Rohini, Delhi 4€"" 110085",Information Technology,OS,ST,Gender-Neutral,,STNOOS,660085,660085
"Maharaja Agrasen Institute of Technology, Sector-22, Rohini, Delhi 4€"" 110085",Mechanical Engineering,HS,OPEN,Gender-Neutral,Defence,OPDFHS,336937,448588
"Maharaja Agrasen Institute of Technology, Sector-22, Rohini, Delhi 4€"" 110085",Mechanical Engineering,HS,OPEN,Gender-Neutral,,OPNOHS,120575,284455
"Maharaja Agrasen Institute of Technology, Sector-22, Rohini, Delhi 4€"" 110085",Mechanical Engineering,HS,SC,Gender-Neutral,,SCNOHS,549358,1446580
"Maharaja Agrasen Institute of Technology, Sector-22, Rohini, Delhi 4€"" 110085",Mechanical Engineering,OS,OPEN,Gender-Neutral,Defence,OPDFOS,121247,121247
"Maharaja Agrasen Institute of Technology, Sector-22, Rohini, Delhi 4€"" 110085",Mechanical Engineering,OS,OPEN,Gender-Neutral,,OPNOOS,85174,99033
"Maharaja Agrasen Institute of Technology, Sector-22, Rohini, Delhi 4€"" 110085",Mechanical Engineering,OS,SC,Gender-Neutral,,SCNOOS,375434,375434
Maharaja Surajmal Institute Technolo,Computer Science & Engineering (Shift |),AI,OPEN,Gender-Neutral,Kashmiri Migrant,NOKMAI,182468,182468
Maharaja Surajmal Institute Technolo,Computer Science & Engineering (Shift |),HS,OPEN,Gender-Neutral,Defence,OPDFHS,201479,285718
Maharaja Surajmal Institute Technolo,Computer Science & Engineering (Shift |),HS,OPEN,Gender-Neutral,,OPNOHS,52036,117485
Maharaja Surajmal Institute Technolo,Computer Science & Engineering (Shift |),HS,OPEN (PwD),Gender-Neutral,,OPPHHS,542425,542425
Maharaja Surajmal Institute Technolo,Computer Science & Engineering (Shift |),HS,SC,Gender-Neutral,,SCNOHS,224128,649445
Maharaja Surajmal Institute Technolo,Computer Science & Engineering (Shift |),OS,OPEN,Gender-Neutral,Defence,OPDFOS,77500,77500
Maharaja Surajmal Institute Technolo,Computer Science & Engineering (Shift |),OS,OPEN,Gender-Neutral,,OPNOOS,31517,62496
Maharaja Surajmal Institute Technolo,Computer Science & Engineering (Shift |),OS,OPEN (PwD),Gender-Neutral,,OPPHOS,631693,631693
Maharaja Surajmal Institute Technolo,Computer Science & Engineering (Shift |),OS,SC,Gender-Neutral,,SCNOOS,198950,272312
Maharaja Surajmal Institute Technolo,Computer Science & Engineering (Shift |),OS,ST,Gender-Neutral,,STNOOS,606042,657458
Maharaja Surajmal Institute Technolo,Computer Science & Engineering (Shift I!),HS,OPEN,Gender-Neutral,Defence,OPDFHS,226480,228360
Maharaja Surajmal Institute Technolo,Computer Science & Engineering (Shift I!),HS,OPEN,Gender-Neutral,,OPNOHS,98763,123155
Maharaja Surajmal Institute Technolo,Computer Science & Engineering (Shift I!),HS,SC,Gender-Neutral,,SCNOHS,529146,683103
Maharaja Surajmal Institute Technolo,Computer Science & Engineering (Shift I!),OS,OPEN,Gender-Neutral,,OPNOOS,38142,64997
Maharaja Surajmal Institute Technolo,Computer Science & Engineering (Shift I!),OS,SC,Gender-Neutral,,SCNOOS,284460,284460
Maharaja Surajmal Institute Technolo,Computer Science & Engineering (Shift I!),OS,ST,Gender-Neutral,,STNOOS,719313,719313
Maharaja Surajmal Institute Technology,Electrical & Electronics Engineering,HS,OPEN,Gender-Neutral,Defence,OPDFHS,362727,372286
Maharaja Surajmal Institute Technology,Electrical & Electronics Engineering,HS,OPEN,Gender-Neutral,,OPNOHS,133485,268614
Maharaja Surajmal Institute Technology,Electrical & Electronics Engineering,HS,OPEN (PwD),Gender-Neutral,,OPPHHS,814722,814722
Maharaja Surajmal Institute Technology,Electrical & Electronics Engineering,HS,SC,Gender-Neutral,,SCNOHS,509752,718371
Maharaja Surajmal Institute Technology,Electrical & Electronics Engineering,OS,OPEN,Gender-Neutral,Defence,OPDFOS,111838,111838
Maharaja Surajmal Institute Technology,Electrical & Electronics Engineering,OS,OPEN,Gender-Neutral,,OPNOOS,85818,88974
Maharaja Surajmal Institute Technology,Electrical & Electronics Engineering,OS,SC,Gender-Neutral,,SCNOOS,403774,416754
Maharaja Surajmal Institute Technolo,Electronics & ‘Communication Engineering (Shift 1!),HS,OPEN,Gender-Neutral,Defence,OPDFHS,326883,353117
Maharaja Surajmal Institute Technolo,Electronics & ‘Communication Engineering (Shift 1!),HS,OPEN,Gender-Neutral,,OPNOHS,100021,199561
Maharaja Surajmal Institute Technolo,Electronics & ‘Communication Engineering (Shift 1!),HS,SC,Gender-Neutral,,SCNOHS,822706,1208398
Maharaja Surajmal Institute Technolo,Electronics & ‘Communication Engineering (Shift 1!),OS,OPEN,Gender-Neutral,Defence,OPDFOS,93342,93342
Maharaja Surajmal Institute Technolo,Electronics & ‘Communication Engineering (Shift 1!),OS,OPEN,Gender-Neutral,,OPNOOS,73762,82193
Maharaja Surajmal Institute Technolo,Electronics & ‘Communication Engineering (Shift 1!),OS,SC,Gender-Neutral,Defence,SCDFOS,735090,735090
Maharaja Surajmal Institute Technolo,Electronics & ‘Communication Engineering (Shift 1!),OS,SC,Gender-Neutral,,SCNOOS,243368,359161
Maharaja Surajmal Institute Technology,Electronics & Communication Engineering (Shift Il),HS,OPEN,Gender-Neutral,Defence,OPDFHS,381383,391081
Maharaja Surajmal Institute Technology,Electronics & Communication Engineering (Shift Il),HS,OPEN,Gender-Neutral,,OPNOHS,160989,215297
Maharaja Surajmal Institute Technology,Electronics & Communication Engineering (Shift Il),HS,SC,Gender-Neutral,,SCNOHS,605956,605956
Maharaja Surajmal Institute Technology,Electronics & Communication Engineering (Shift Il),OS,OPEN,Gender-Neutral,,OPNOOS,82566,85518
Maharaja Surajmal Institute Technology,Electronics & Communication Engineering (Shift Il),OS,SC,Gender-Neutral,,SCNOOS,396376,396376
Maharaja Surajmal Institute Technolo,Information Technology (Shift 1),HS,OPEN,Gender-Neutral,Defence,OPDFHS,229034,256081
Maharaja Surajmal Institute Technolo,Information Technology (Shift 1),HS,OPEN,Gender-Neutral,,OPNOHS,118748,149164
Maharaja Surajmal Institute Technolo,Information Technology (Shift 1),HS,SC,Gender-Neutral,,SCNOHS,469709,900545
Maharaja Surajmal Institute Technolo,Information Technology (Shift 1),OS,OPEN,Gender-Neutral,Defence,OPDFOS,83894,83894
Maharaja Surajmal Institute Technolo,Information Technology (Shift 1),OS,OPEN,Gender-Neutral,,OPNOOS,65998,70646
Maharaja Surajmal Institute Technolo,Information Technology (Shift 1),OS,OPEN (PwD),Gender-Neutral,,OPPHOS,650992,650992
Maharaja Surajmal Institute Technolo,Information Technology (Shift 1),OS,SC,Gender-Neutral,,SCNOOS,286851,319192
Maharaja Surajmal Institute Technolo,Information Technology (Shift 1),OS,ST,Gender-Neutral,,STNOOS,1156154,1156154
Maharaja Surajmal Institute Technology,Information Technology (Shift tl),HS,OPEN,Gender-Neutral,Defence,OPDFHS,257268,263287
Maharaja Surajmal Institute Technology,Information Technology (Shift tl),HS,OPEN,Gender-Neutral,,OPNOHS,123150,155081
Maharaja Surajmal Institute Technology,Information Technology (Shift tl),HS,SC,Gender-Neutral,,SCNOHS,768072,922284
Maharaja Surajmal Institute Technology,Information Technology (Shift tl),OS,OPEN,Gender-Neutral,,OPNOOS,70690,72620
Maharaja Surajmal Institute Technology,Information Technology (Shift tl),OS,SC,Gender-Neutral,,SCNOOS,325421,325884
"Shri Balwant Institute of Technology, Merrut Road (Pallri), Sonipat, NCR Delhi), Haryana (Jain Minority Institute)",Computer Science & Engineering,AI,OPEN,Gender-Neutral,Jain Minority,NOJNAI,1079933,1079933
