Round,Institute,Program,Quota,Seat,Gender,Note,Opening Rank (int),Closing Rank (int)
Round 3,"S.R.Institute Of Management & Technology,Lucknow",Computer Science And Engineering(Artificial Intelligence & Machine Learning),HS,OPEN,Gender-Neutral,,1041648,1468911
Round 3,"S.R.Institute Of Management & Technology,Lucknow",Computer Science and Engineering (Artificial Intelligence),HS,OPEN,Gender-Neutral,,492772,492772
Round 3,"S.R.Institute Of Management & Technology,Lucknow",Mechanical Engineering (FW),HS,OPEN,Gender-Neutral,TF,672893,672893
Round 3,"S.R.Institute Of Management & Technology,Lucknow",Electronics and Communication Engineering,HS,OPEN,Gender-Neutral,,1216123,1216123
Round 3,"S.R.Institute Of Management & Technology,Lucknow",Electrical & Electronics Engineering,HS,OPEN,Gender-Neutral,,925678,925678
Round 3,"S.R.Institute Of Management & Technology,Lucknow",Computer Science and Engineering (FW),HS,OPEN,Gender-Neutral,TF,316010,316010
Round 3,"S.R.Institute Of Management & Technology,Lucknow",Computer Science and Engineering,HS,OPEN,Gender-Neutral,,688647,1467463
Round 3,"S.R.Institute Of Management & Technology,Lucknow",Computer Science and Engineering,HS,OPEN,Female-only (including Supernumerary),,374228,1190311
Round 3,"S.R.Institute Of Management & Technology,Lucknow",Civil Engineering,HS,OPEN,Gender-Neutral,,608844,1362533
Round 3,"Institute Of Technology & Management,Lucknow",Information Technology,HS,OPEN,Gender-Neutral,,284729,284729
Round 3,"Institute Of Technology & Management,Lucknow",Electrical & Electronics Engineering,HS,OPEN,Gender-Neutral,,854592,854592
Round 3,"Institute Of Technology & Management,Lucknow",Computer Science and Engineering,HS,OPEN,Gender-Neutral,,456058,1285720
Round 3,"Nigc Institute Of Technology And Management, Bijnor",Electrical Engineering,HS,OPEN,Gender-Neutral,,1117551,1373548
Round 3,"Nigc Institute Of Technology And Management, Bijnor",Computer Science and Engineering,HS,OPEN,Gender-Neutral,,449604,1454392
Round 3,"Sri Rammurti Smarak College Of Engineering Technology & Research,Bareilly",Computer Science and Engineering,HS,OPEN,Gender-Neutral,,709106,709106
Round 3,"B.N.College Of Engineering & Technology(Bncet),Lucknow",Electrical Engineering (FW),HS,OPEN,Gender-Neutral,TF,228608,228608
Round 3,"G.L. Bajaj Institute Of Technology & Management,Gautam Buddh Nagar",Computer Science And Engineering(Data Science),HS,SC,Gender-Neutral,,746580,746580
Round 3,"Kanpur Institute Of Technology,Kanpur",Electronics and Communication Engineering,HS,OPEN,Gender-Neutral,,790739,790739
Round 3,"Kanpur Institute Of Technology,Kanpur",Computer Science and Engineering,HS,OPEN,Gender-Neutral,,528299,901105
Round 3,"Kanpur Institute Of Technology,Kanpur",Computer Science and Engineering,HS,OPEN,Female-only (including Supernumerary),,374114,571770
Round 3,"Pranveer Singh Institute Of Technology,Kanpur",Computer Science And Engineering(Data Science),HS,OPEN,Female-only (including Supernumerary),,641191,722040
Round 3,"Pranveer Singh Institute Of Technology,Kanpur",Computer Science And Engineering(Data Science),HS,OBC-NCL,Female-only (including Supernumerary),,1283161,1283161
Round 3,"Pranveer Singh Institute Of Technology,Kanpur",Computer Science And Engineering(Artificial Intelligence & Machine Learning),HS,SC,Gender-Neutral,,678412,678412
Round 3,"Kanpur Institute Of Technology,Kanpur",Computer Science And Engineering(Artificial Intelligence & Machine Learning),HS,OPEN,Gender-Neutral,,872813,968891
Round 3,"Pranveer Singh Institute Of Technology,Kanpur",Computer Science And Engineering(Artificial Intelligence & Machine Learning),HS,EWS,Gender-Neutral,,480724,636611
Round 3,"Pranveer Singh Institute Of Technology,Kanpur",Computer Science and Engineering (Artificial Intelligence) (FW),HS,OPEN,Gender-Neutral,TF,215061,215061
Round 3,"Pranveer Singh Institute Of Technology,Kanpur",Computer Science and Engineering (Artificial Intelligence),HS,OPEN,Female-only (including Supernumerary),,442439,497690
Round 3,"Pranveer Singh Institute Of Technology,Kanpur",Computer Science and Engineering (Artificial Intelligence),HS,EWS,Female-only (including Supernumerary),,721795,721795
Round 3,"Pranveer Singh Institute Of Technology,Kanpur",Computer Science and Engineering (Artificial Intelligence),HS,OBC-NCL,Gender-Neutral,,894309,1408410
Round 3,"Pranveer Singh Institute Of Technology,Kanpur",Computer Science and Engineering (Artificial Intelligence),HS,OBC-NCL,Female-only (including Supernumerary),,1017120,1030816
Round 3,"I.T.S. Engg.College,Gautam Buddh Nagar",Computer Science and Engineering,HS,OPEN,Gender-Neutral,,496279,1178802
Round 3,"Dr.Ambedkar Institute Of Technology For Divyangjan, U.P., Kanpur",Computer Science and Engineering,HS,OBC-NCL,Gender-Neutral,AF,301210,305774
Round 3,"Dr.Ambedkar Institute Of Technology For Divyangjan, U.P., Kanpur",Information Technology (FW),HS,OPEN,Gender-Neutral,TF,152110,152164
Round 3,"Dr.Ambedkar Institute Of Technology For Divyangjan, U.P., Kanpur",Information Technology,HS,ST,Gender-Neutral,,1308050,1308050
Round 3,"Dr.Ambedkar Institute Of Technology For Divyangjan, U.P., Kanpur",Information Technology,HS,OPEN,Female-only (including Supernumerary),,207523,215846
Round 3,"Dr.Ambedkar Institute Of Technology For Divyangjan, U.P., Kanpur",Information Technology,HS,OPEN,Gender-Neutral,AF,387197,387197
Round 3,"Dr.Ambedkar Institute Of Technology For Divyangjan, U.P., Kanpur",Information Technology,HS,EWS,Female-only (including Supernumerary),,219659,223186
Round 3,"Dr.Ambedkar Institute Of Technology For Divyangjan, U.P., Kanpur",Computer Science and Engineering,HS,OBC-NCL,Female-only (including Supernumerary),,190621,205683
Round 3,"Dr.Ambedkar Institute Of Technology For Divyangjan, U.P., Kanpur",Information Technology,HS,OBC-NCL,Gender-Neutral,AF,441188,441188
Round 3,"Dr.Ambedkar Institute Of Technology For Divyangjan, U.P., Kanpur",Computer Science and Engineering (FW),HS,OPEN,Gender-Neutral,TF,114173,118299
Round 3,"Dr.Ambedkar Institute Of Technology For Divyangjan, U.P., Kanpur",Computer Science and Engineering,HS,OPEN,Female-only (including Supernumerary),,156513,167949
Round 3,"Lucknow Institute Of Technology,Lucknow",Computer Science and Engineering,HS,OPEN,Female-only (including Supernumerary),,407038,449112
Round 3,"Dr.Ambedkar Institute Of Technology For Divyangjan, U.P., Kanpur",Computer Science and Engineering,HS,OPEN,Gender-Neutral,AF,292228,299247
Round 3,"Dr.Ambedkar Institute Of Technology For Divyangjan, U.P., Kanpur",Computer Science and Engineering,HS,EWS,Female-only (including Supernumerary),,180211,187059
Round 3,"Dr.Ambedkar Institute Of Technology For Divyangjan, U.P., Kanpur",Information Technology,HS,OBC-NCL,Female-only (including Supernumerary),,216433,227166
Round 3,"Pranveer Singh Institute Of Technology,Kanpur",Information Technology,HS,EWS,Gender-Neutral,,1093903,1409604
Round 3,"Pranveer Singh Institute Of Technology,Kanpur",Information Technology,HS,EWS,Female-only (including Supernumerary),,1402705,1402705
Round 3,"I.M.S. Engineering College,Ghaziabad",Computer Science And Engineering(Artificial Intelligence & Machine Learning),HS,OPEN,Gender-Neutral,,382535,1366127
Round 3,"I.M.S. Engineering College,Ghaziabad",Computer Science,HS,OPEN,Female-only (including Supernumerary),,781882,1344770
Round 3,"I.M.S. Engineering College,Ghaziabad",Information Technology,HS,OPEN,Gender-Neutral,,587224,587224
Round 3,"I.M.S. Engineering College,Ghaziabad",Information Technology,HS,OPEN,Female-only (including Supernumerary),,1269761,1269761
Round 3,"I.M.S. Engineering College,Ghaziabad",Computer Science and Engineering (FW),HS,OPEN,Gender-Neutral,TF,206179,206179
Round 3,"I.M.S. Engineering College,Ghaziabad",Computer Science and Engineering,HS,OPEN,Gender-Neutral,,393300,1460206
Round 3,"S R Group Of Institutions (College Of Science And Engineering),Jhansi",Computer Science and Engineering,HS,OPEN,Female-only (including Supernumerary),,876325,876325
Round 3,"Kalicharan Nigam Institute Of Technology,Banda",Computer Science and Engineering,HS,OPEN,Gender-Neutral,,739531,739531
Round 3,"Kalicharan Nigam Institute Of Technology,Banda",Civil Engineering,HS,OPEN,Gender-Neutral,,1304578,1304578
Round 3,"B.B.S.College Of Engginering And Technology,Allahabad",Computer Science and Engineering,HS,OPEN,Gender-Neutral,,863552,1061535
Round 3,"Noida Institute Of Engg. & Technology,Gautam Buddh Nagar",Master Of Integrated Technology (Computer Science and Engineering),HS,OPEN,Gender-Neutral,,418033,1335184
Round 3,"Noida Institute Of Engg. & Technology,Gautam Buddh Nagar",Master Of Integrated Technology (Computer Science and Engineering),HS,OPEN,Female-only (including Supernumerary),,741866,741866
Round 3,"Noida Institute Of Engg. & Technology,Gautam Buddh Nagar",Mathematics and Computing (FW),HS,OPEN,Gender-Neutral,,366736,403729
Round 3,"Noida Institute Of Engg. & Technology,Gautam Buddh Nagar",Computer Science And Engineering(AIML) (Collaboration & Twining Program),HS,OPEN,Gender-Neutral,,314395,1309442
Round 3,"S R Group Of Institutions (College Of Science And Engineering),Jhansi",Computer Science and Engineering,HS,OPEN,Gender-Neutral,,596530,1430535
Round 3,"S R Group Of Institutions (College Of Science And Engineering),Jhansi",Artificial Intelligence And Machine Learning,HS,OPEN,Gender-Neutral,,630095,1421269
Round 3,"Pranveer Singh Institute Of Technology,Kanpur",Electronics and Communication Engineering,HS,EWS,Gender-Neutral,,1449315,1449315
Round 3,"Pranveer Singh Institute Of Technology,Kanpur",Computer Science and Engineering (FW),HS,OPEN,Gender-Neutral,TF,161530,255487
Round 3,"Pranveer Singh Institute Of Technology,Kanpur",Computer Science and Engineering,HS,SC,Gender-Neutral,,828757,932990
Round 3,"Pranveer Singh Institute Of Technology,Kanpur",Computer Science and Engineering,HS,SC,Female-only (including Supernumerary),,1034504,1034504
Round 3,"Pranveer Singh Institute Of Technology,Kanpur",Computer Science and Engineering,HS,OBC-NCL,Gender-Neutral,,767146,1474169
Round 3,"Dr.M.C.Saxena College Of Engg. & Technology,Lucknow",Computer Science And Engineering(Artificial Intelligence & Machine Learning),HS,OPEN,Gender-Neutral,,331862,331862
Round 3,"Shambhu Nath Institute Of Engg. & Technolgy,Allahabad",Computer Science And Engineering(Artificial Intelligence & Machine Learning),HS,OPEN,Gender-Neutral,,1256289,1256289
Round 3,Lloyd Institute Of Engineering And Technology,Computer Science And Engineering(Artificial Intelligence & Machine Learning),HS,OPEN,Gender-Neutral,,469208,469208
Round 3,Lloyd Institute Of Engineering And Technology,Computer Science And Engineering(Artificial Intelligence & Machine Learning),HS,OPEN,Female-only (including Supernumerary),,256524,582197
Round 3,Lloyd Institute Of Engineering And Technology,Electronics and Communication Engineering (FW),HS,OPEN,Gender-Neutral,TF,1419952,1419952
Round 3,Lloyd Institute Of Engineering And Technology,Computer Science and Engineering,HS,OPEN,Gender-Neutral,,700089,1432185
Round 3,"Global Institute Of Information Technology,Gautam Buddh Nagar",Computer Science and Engineering,HS,OPEN,Gender-Neutral,,1060999,1060999
Round 3,"Rajkiya Engineering College,Banda",Electrical Engineering,HS,OPEN,Female-only (including Supernumerary),,344778,344778
Round 3,"Dr.Ambedkar Institute Of Technology For Divyangjan, U.P., Kanpur",Chemical Engineering,HS,OPEN,Female-only (including Supernumerary),,365781,365781
Round 3,"G.L. Bajaj Institute Of Technology & Management,Gautam Buddh Nagar",Computer Science and Information  Technology,HS,SC,Gender-Neutral,,1254937,1254937
Round 3,"G.L. Bajaj Institute Of Technology & Management,Gautam Buddh Nagar",Computer Science and Information  Technology,HS,SC,Female-only (including Supernumerary),,377714,377714
Round 3,"G.L. Bajaj Institute Of Technology & Management,Gautam Buddh Nagar",Mechanical Engineering,HS,OPEN,Gender-Neutral,,621671,965491
Round 3,"G.L. Bajaj Institute Of Technology & Management,Gautam Buddh Nagar",Electronics and Communication Engineering (FW),HS,OPEN,Gender-Neutral,TF,169298,194245
Round 3,"G.L. Bajaj Institute Of Technology & Management,Gautam Buddh Nagar",Electronics and Communication Engineering,HS,EWS,Female-only (including Supernumerary),,562857,612766
Round 3,"G.L. Bajaj Institute Of Technology & Management,Gautam Buddh Nagar",Computer Science And Engineering(Artificial Intelligence & Machine Learning),HS,SC,Gender-Neutral,,430957,1402957
Round 3,"G.L. Bajaj Institute Of Technology & Management,Gautam Buddh Nagar",Computer Science And Engineering(Artificial Intelligence & Machine Learning),HS,SC,Female-only (including Supernumerary),,907562,1472941
Round 3,"G.L. Bajaj Institute Of Technology & Management,Gautam Buddh Nagar",Computer Science (Hindi),HS,OPEN,Female-only (including Supernumerary),,567816,628533
Round 3,"G.L. Bajaj Institute Of Technology & Management,Gautam Buddh Nagar",Computer Science (Hindi),HS,EWS,Gender-Neutral,,717739,872093
Round 3,"G.L. Bajaj Institute Of Technology & Management,Gautam Buddh Nagar",Computer Science (Hindi),HS,OBC-NCL,Gender-Neutral,,859619,1106454
Round 3,"G.L. Bajaj Institute Of Technology & Management,Gautam Buddh Nagar",Electrical & Electronics Engineering,HS,OPEN,Gender-Neutral,,506946,1388214
Round 3,"G.L. Bajaj Institute Of Technology & Management,Gautam Buddh Nagar",Electrical & Electronics Engineering,HS,OBC-NCL,Female-only (including Supernumerary),,828425,945153
Round 3,"Dr.Ambedkar Institute Of Technology For Divyangjan, U.P., Kanpur",Computer Science And Engineering(Artificial Intelligence & Machine Learning),HS,EWS,Female-only (including Supernumerary),,198254,198254
Round 3,"Dr.Ambedkar Institute Of Technology For Divyangjan, U.P., Kanpur",Computer Science And Engineering(Artificial Intelligence & Machine Learning),HS,OBC-NCL,Female-only (including Supernumerary),,206799,212263
Round 3,"Dr.Ambedkar Institute Of Technology For Divyangjan, U.P., Kanpur",Computer Science And Engineering(Artificial Intelligence & Machine Learning),HS,OBC-NCL,Gender-Neutral,AF,392796,392796
Round 3,"Dr.Ambedkar Institute Of Technology For Divyangjan, U.P., Kanpur",Biotechnology,HS,OPEN,Gender-Neutral,,276492,1154138
Round 3,"Dr.Ambedkar Institute Of Technology For Divyangjan, U.P., Kanpur",Biotechnology,HS,OPEN,Female-only (including Supernumerary),,826372,831021
Round 3,"Dr.Ambedkar Institute Of Technology For Divyangjan, U.P., Kanpur",Electronics Engineering (FW),HS,OPEN,Gender-Neutral,TF,162957,184133
Round 3,"Rajkiya Engineering College,Banda",Information Technology,HS,SC,Female-only (including Supernumerary),,646520,792687
Round 3,"Dr.Ambedkar Institute Of Technology For Divyangjan, U.P., Kanpur",Computer Science And Engineering(Artificial Intelligence & Machine Learning),HS,OPEN,Gender-Neutral,AF,268255,337958
Round 3,"Lucknow Institute Of Technology,Lucknow",Electrical Engineering,HS,OPEN,Gender-Neutral,,715591,782761
Round 3,"Dr.Ambedkar Institute Of Technology For Divyangjan, U.P., Kanpur",Electronics Engineering,HS,OBC-NCL,Female-only (including Supernumerary),,250986,267951
Round 3,"Dr.Ambedkar Institute Of Technology For Divyangjan, U.P., Kanpur",Electronics Engineering,HS,OPEN,Female-only (including Supernumerary),,227034,250160
Round 3,"Dr.Ambedkar Institute Of Technology For Divyangjan, U.P., Kanpur",Computer Science And Engineering(Artificial Intelligence & Machine Learning),HS,OPEN,Female-only (including Supernumerary),,175142,193582
Round 3,"G.L. Bajaj Institute Of Technology & Management,Gautam Buddh Nagar",Computer Science and Engineering,HS,SC,Female-only (including Supernumerary),,524339,1256291
Round 3,"G.L. Bajaj Institute Of Technology & Management,Gautam Buddh Nagar",Computer Science and Engineering,HS,OPEN,Gender-Neutral,AF,261298,262864
Round 3,"G.L. Bajaj Institute Of Technology & Management,Gautam Buddh Nagar",Computer Science and Engineering,HS,OBC-NCL,Gender-Neutral,AF,291489,370420
Round 3,"Central Institute Of Petrochemicals Engineering & Technology (Cipet), Lucknow",Plastic Engineering,HS,OPEN,Gender-Neutral,,961962,1133544
Round 3,"Feroze Gandhi Institute Of Engg And Technology, Raibareilly",Electronics and Communication Engineering,HS,OPEN,Gender-Neutral,,780143,780143
Round 3,"Feroze Gandhi Institute Of Engg And Technology, Raibareilly",Computer Science and Engineering (FW),HS,OPEN,Gender-Neutral,TF,300778,496461
Round 3,"Feroze Gandhi Institute Of Engg And Technology, Raibareilly",Computer Science and Engineering,HS,OPEN,Gender-Neutral,,250208,1450075
Round 3,"Feroze Gandhi Institute Of Engg And Technology, Raibareilly",Computer Science and Engineering,HS,OPEN,Female-only (including Supernumerary),,487067,487067
Round 3,"Feroze Gandhi Institute Of Engg And Technology, Raibareilly",Computer Science and Engineering,HS,OBC-NCL,Female-only (including Supernumerary),,987646,1309154
Round 3,"Lloyd Institute Of Management & Technology,Gautam Buddh Nagar",Computer Science And Engineering(Artificial Intelligence & Machine Learning),HS,OPEN,Gender-Neutral,,995735,995735
Round 3,"Lloyd Institute Of Management & Technology,Gautam Buddh Nagar",Computer Science and Engineering,HS,OPEN,Gender-Neutral,,831912,831912
Round 3,"Dr.Ambedkar Institute Of Technology For Divyangjan, U.P., Kanpur",Computer Science And Engineering(Artificial Intelligence & Machine Learning) (FW),HS,OPEN,Gender-Neutral,TF,127232,127232
Round 3,"Dr.Ambedkar Institute Of Technology For Divyangjan, U.P., Kanpur",Computer Science And Engineering(Artificial Intelligence & Machine Learning),HS,ST,Gender-Neutral,,735442,735442
Round 3,"Rajkiya Engineering College,Banda",Electrical Engineering,HS,SC,Gender-Neutral,,536108,983535
Round 3,"G.L. Bajaj Institute Of Technology & Management,Gautam Buddh Nagar",Computer Science and Engineering (Artificial Intelligence),HS,SC,Gender-Neutral,,950013,950013
Round 3,"Dr. Shakuntala Misra National Rehabilitation University, Lucknow",Electrical Engineering,HS,OPEN,Gender-Neutral,,559621,1373998
Round 3,"Dr. Shakuntala Misra National Rehabilitation University, Lucknow",Electrical Engineering,HS,OPEN,Female-only (including Supernumerary),,504433,592583
Round 3,"Dr. Shakuntala Misra National Rehabilitation University, Lucknow",Computer Science and Engineering,HS,SC,Gender-Neutral,,492193,670260
Round 3,"Dr. Shakuntala Misra National Rehabilitation University, Lucknow",Computer Science and Engineering,HS,EWS,Gender-Neutral,,353608,444123
Round 3,"Dr. Shakuntala Misra National Rehabilitation University, Lucknow",Computer Science and Engineering,HS,OBC-NCL,Female-only (including Supernumerary),,497157,558226
Round 3,"Dr. Shakuntala Misra National Rehabilitation University, Lucknow",Computer Science and Engineering,HS,OBC-NCL,Gender-Neutral,AF,682594,682594
Round 3,"Dr. Shakuntala Misra National Rehabilitation University, Lucknow",Civil Engineering,HS,OPEN,Gender-Neutral,,823465,1299463
Round 3,"Bundelkhand University, Jhansi",Electronics & Instrumentation Engineering,HS,EWS,Gender-Neutral,,961657,961657
Round 3,"Bundelkhand University, Jhansi",Electronics & Instrumentation Engineering,HS,OBC-NCL,Female-only (including Supernumerary),,1171763,1171763
Round 3,"Bundelkhand University, Jhansi",Biotechnology,HS,OPEN,Gender-Neutral,,782897,782897
Round 3,"Bundelkhand University, Jhansi",Biotechnology,HS,OPEN,Female-only (including Supernumerary),,668772,668772
Round 3,"Bundelkhand University, Jhansi",Mechanical Engineering,HS,OPEN,Gender-Neutral,,553617,1267895
Round 3,"Bundelkhand University, Jhansi",Electronics and Communication Engineering,HS,ST,Gender-Neutral,,1302721,1302721
Round 3,"Bundelkhand University, Jhansi",Electronics & Instrumentation Engineering,HS,SC,Gender-Neutral,,872346,1179238
Round 3,"Dr. Bhim Rao Ambedkar University, Agra",Computer Science and Engineering,HS,EWS,Gender-Neutral,,894311,1279309
Round 3,"Dr. Bhim Rao Ambedkar University, Agra",Computer Science and Engineering,HS,OBC-NCL,Gender-Neutral,,752505,1372798
Round 3,"Dr. Bhim Rao Ambedkar University, Agra",Computer Science and Engineering,HS,OBC-NCL,Female-only (including Supernumerary),,787503,1379511
Round 3,"Dr. Bhim Rao Ambedkar University, Agra",Civil Engineering,HS,OPEN,Gender-Neutral,,523607,840897
Round 3,"Dr. Shakuntala Misra National Rehabilitation University, Lucknow",Computer Science & Engineering  (Artificial Intelligence & Finance Management),HS,OPEN,Female-only (including Supernumerary),,441180,441180
Round 3,"Dr. Shakuntala Misra National Rehabilitation University, Lucknow",Computer Science & Engineering  (Artificial Intelligence & Finance Management),HS,OBC-NCL,Female-only (including Supernumerary),,477886,540286
Round 3,"Dr. Shakuntala Misra National Rehabilitation University, Lucknow",Computer Science & Engineering  (Artificial Intelligence & data Science),HS,SC,Gender-Neutral,,599185,675709
Round 3,"Dr. Shakuntala Misra National Rehabilitation University, Lucknow",Computer Science & Engineering  (Artificial Intelligence & data Science),HS,SC,Female-only (including Supernumerary),,581750,581750
Round 3,"Dr. Shakuntala Misra National Rehabilitation University, Lucknow",Computer Science & Engineering  (Artificial Intelligence & data Science),HS,OBC-NCL,Female-only (including Supernumerary),,472636,472636
Round 3,"Dr. Shakuntala Misra National Rehabilitation University, Lucknow",Mechanical Engineering,HS,OPEN,Gender-Neutral,,1459196,1459196
Round 3,"Dr. Shakuntala Misra National Rehabilitation University, Lucknow",Electronics and Communication Engineering,HS,SC,Gender-Neutral,,719644,1338928
Round 3,"Dr. Shakuntala Misra National Rehabilitation University, Lucknow",Computer Science & Engineering  (Artificial Intelligence & Finance Management),HS,EWS,Female-only (including Supernumerary),,656653,656653
Round 3,"Bundelkhand University, Jhansi",Electronics and Communication Engineering,HS,OPEN,Gender-Neutral,AF,562831,562831
Round 3,Ch. Charan Singh University Campus (Scriet) Meerut,Electronics and Communication Engineering,HS,SC,Gender-Neutral,,886996,886996
Round 3,Ch. Charan Singh University Campus (Scriet) Meerut,Electronics and Communication Engineering,HS,EWS,Female-only (including Supernumerary),,549832,549832
Round 3,"D. D. U. Gorakhpur University, Gorakhpur",Computer Science And Engineering(Artificial Intelligence & Machine Learning),HS,SC,Gender-Neutral,,607882,841607
Round 3,"D. D. U. Gorakhpur University, Gorakhpur",Computer Science And Engineering(Artificial Intelligence & Machine Learning),HS,SC,Female-only (including Supernumerary),,992357,992357
Round 3,"D. D. U. Gorakhpur University, Gorakhpur",Computer Science And Engineering(Artificial Intelligence & Machine Learning),HS,EWS,Female-only (including Supernumerary),,334350,334350
Round 3,"D. D. U. Gorakhpur University, Gorakhpur",Mechanical Engineering,HS,OBC-NCL,Gender-Neutral,,731663,942401
Round 3,"D. D. U. Gorakhpur University, Gorakhpur",Information Technology,HS,ST,Gender-Neutral,,891381,891381
Round 3,"D. D. U. Gorakhpur University, Gorakhpur",Information Technology,HS,SC,Gender-Neutral,,884801,913720
Round 3,"D. D. U. Gorakhpur University, Gorakhpur",Computer Science And Engineering(Artificial Intelligence & Machine Learning),HS,OPEN,Female-only (including Supernumerary),,226824,240388
Round 3,"Bundelkhand University, Jhansi",Electronics and Communication Engineering,HS,EWS,Female-only (including Supernumerary),,409564,409564
Round 3,"Bundelkhand University, Jhansi",Computer Science and Engineering,HS,SC,Gender-Neutral,,282143,472299
Round 3,"Bundelkhand University, Jhansi",Computer Science and Engineering,HS,SC,Female-only (including Supernumerary),,529048,529048
Round 3,"Bundelkhand University, Jhansi",Computer Science and Engineering,HS,OPEN,Gender-Neutral,,169224,224332
Round 3,"Bundelkhand University, Jhansi",Computer Science and Engineering,HS,OBC-NCL,Gender-Neutral,,233484,261927
Round 3,"Bundelkhand University, Jhansi",Computer Science and Engineering,HS,OBC-NCL,Gender-Neutral,AF,535582,535582
Round 3,Ch. Charan Singh University Campus (Scriet) Meerut,Computer Science,HS,SC,Female-only (including Supernumerary),,940537,940537
Round 3,Ch. Charan Singh University Campus (Scriet) Meerut,Computer Science,HS,OPEN,Gender-Neutral,,195700,265032
Round 3,Ch. Charan Singh University Campus (Scriet) Meerut,Computer Science,HS,OPEN,Female-only (including Supernumerary),,242739,242739
Round 3,Ch. Charan Singh University Campus (Scriet) Meerut,Electronics & Instrumentation Engineering,HS,OPEN,Gender-Neutral,,471790,1299390
Round 3,Ch. Charan Singh University Campus (Scriet) Meerut,Electronics & Instrumentation Engineering,HS,OPEN,Female-only (including Supernumerary),,1179110,1179110
Round 3,Ch. Charan Singh University Campus (Scriet) Meerut,Chemical Engineering,HS,OPEN,Gender-Neutral,,1306350,1386929
Round 3,Ch. Charan Singh University Campus (Scriet) Meerut,Mechanical Engineering,HS,OPEN,Gender-Neutral,,688694,1271689
Round 3,Ch. Charan Singh University Campus (Scriet) Meerut,Information Technology,HS,SC,Gender-Neutral,,912109,1459865
Round 3,Ch. Charan Singh University Campus (Scriet) Meerut,Information Technology,HS,SC,Female-only (including Supernumerary),,1005212,1005212
Round 3,"Dr. Bhim Rao Ambedkar University, Agra",Electrical Engineering,HS,OPEN,Gender-Neutral,,1043728,1043728
Round 3,"Sardar Vallabhbhai Patel University Of Agriculture & Technology, Meerut",Computer Science,HS,SC,Gender-Neutral,,624621,980198
Round 3,"Sardar Vallabhbhai Patel University Of Agriculture & Technology, Meerut",Computer Science,HS,OPEN,Female-only (including Supernumerary),,474245,474245
Round 3,"Sardar Vallabhbhai Patel University Of Agriculture & Technology, Meerut",Computer Science,HS,OBC-NCL,Female-only (including Supernumerary),,488168,646715
Round 3,"Bharat Ratna Sardar Vallabhbhai Patel Rajkiya Engineering College, Basti",Civil Engineering,HS,OPEN,Gender-Neutral,,534947,921515
Round 3,"Lucknow University, Lucknow",Computer Science & Engineering (Artificial Intelligence),HS,SC,Gender-Neutral,AF,1374428,1374428
Round 3,"Lucknow University, Lucknow",Computer Science & Engineering (Artificial Intelligence),HS,OPEN (PwD),Gender-Neutral,,1105935,1105935
Round 3,"Lucknow University, Lucknow",Computer Science & Engineering (Artificial Intelligence),HS,OBC-NCL,Gender-Neutral,AF,240621,240621
Round 3,"Bharat Ratna Sardar Vallabhbhai Patel Rajkiya Engineering College, Basti",Computer Science and Engineering,HS,EWS,Female-only (including Supernumerary),,585461,585461
Round 3,"Samrat Ashok Rajkiya Engineering College, Mirzapur",Computer Science and Engineering,HS,EWS,Gender-Neutral,,406216,426919
Round 3,"Samrat Ashok Rajkiya Engineering College, Mirzapur",Computer Science and Engineering,HS,EWS,Female-only (including Supernumerary),,638420,638420
Round 3,"Samrat Ashok Rajkiya Engineering College, Mirzapur",Computer Science and Engineering,HS,OBC-NCL,Female-only (including Supernumerary),,685399,685881
Round 3,"Maa Pateshwari Devi Rajkiya  Engineering College, Gonda",Mechanical Engineering,HS,OPEN,Gender-Neutral,,930341,1029981
Round 3,"Maa Pateshwari Devi Rajkiya  Engineering College, Gonda",Computer Science and Engineering,HS,SC,Gender-Neutral,,639743,1386774
Round 3,"Maa Pateshwari Devi Rajkiya  Engineering College, Gonda",Computer Science and Engineering,HS,OPEN,Female-only (including Supernumerary),,474826,497815
Round 3,"Maa Pateshwari Devi Rajkiya  Engineering College, Gonda",Computer Science and Engineering,HS,EWS,Female-only (including Supernumerary),,505327,556186
Round 3,"Bharat Ratna Sardar Vallabhbhai Patel Rajkiya Engineering College, Basti",Electronics Engineering,HS,OPEN,Gender-Neutral,,489298,1359307
Round 3,"Bharat Ratna Sardar Vallabhbhai Patel Rajkiya Engineering College, Basti",Electronics Engineering,HS,OPEN,Female-only (including Supernumerary),,1133561,1133561
Round 3,"Bharat Ratna Sardar Vallabhbhai Patel Rajkiya Engineering College, Basti",Electrical Engineering,HS,OPEN,Gender-Neutral,,64882,1182323
Round 3,"Bharat Ratna Sardar Vallabhbhai Patel Rajkiya Engineering College, Basti",Computer Science and Engineering (FW),HS,OPEN,Gender-Neutral,TF,279842,279842
Round 3,"Khwaja Moinuddin Chishti Language University, Lucknow",Automotion & Robotics,HS,OPEN,Gender-Neutral,,280294,1327411
Round 3,"Khwaja Moinuddin Chishti Language University, Lucknow",Automotion & Robotics,HS,OPEN,Female-only (including Supernumerary),,1137784,1137784
Round 3,"Khwaja Moinuddin Chishti Language University, Lucknow",Computer Science And Engineering(Artificial Intelligence & Machine Learning),HS,OPEN,Female-only (including Supernumerary),,270039,270039
Round 3,"Khwaja Moinuddin Chishti Language University, Lucknow",Computer Science And Engineering(Artificial Intelligence & Machine Learning),HS,EWS,Gender-Neutral,,435694,833049
