Round,Institute,Program,Quota,Seat,Gender,Note,Opening Rank (int),Closing Rank (int)
Round 1,"Bharat Ratna Sardar Vallabhbhai Patel Rajkiya Engineering College, Basti",Civil Engineering,HS,OBC-NCL,Gender-Neutral,,995370,1286286
Round 1,"Kiet Group Of Institutions(Krishna Instt. Of Engg. & Technology),Ghaziabad",Mechanical Engineering,HS,SC,Female-only (including Supernumerary),,1165431,1165431
Round 1,"Noida Institute Of Engg. & Technology,Gautam Buddh Nagar",Computer Science And Engineering(Internet Of Things),HS,SC,Gender-Neutral,,807502,807502
Round 1,"Rajkiya Engineering College,Mainpuri",Civil Engineering,HS,OBC-NCL,Female-only (including Supernumerary),,1175332,1393863
Round 1,"Samrat Ashok Rajkiya Engineering College, Mirzapur",Electrical Engineering,HS,SC,Gender-Neutral,,754624,1231501
Round 1,"Ashoka Institute Of Technology & Management,Varanasi",Computer Science And Engineering(Artificial Intelligence & Machine Learning) (FW),HS,OPEN,Gender-Neutral,TF,422861,473978
Round 1,"Allenhouse Institute Of Technology,Kanpur",Mechanical Engineering,HS,OPEN,Female-only (including Supernumerary),,1466028,1466028
Round 1,"Axis Institute Of Technology & Management,Kanpur",Electrical Engineering,HS,OPEN,Gender-Neutral,,517536,869377
Round 1,"Feroze Gandhi Institute Of Engg And Technology, Raibareilly",Aeronautical Engineering,HS,OPEN,Gender-Neutral,AF,562831,562831
Round 1,"Prayag Institute Of Technology & Management,Allahabad",Mechanical Engineering,HS,OPEN,Gender-Neutral,,1188702,1188702
Round 1,"Veer Bahadur Singh Purvanchal University, Jaunpur",Information Technology,HS,SC,Gender-Neutral,,688875,1316955
Round 1,"Veer Bahadur Singh Purvanchal University, Jaunpur",Electronics and Communication Engineering,HS,OBC-NCL,Gender-Neutral,,823517,987173
Round 1,"Bundelkhand Institute Of Engineering & Technology,Jhansi",Information Technology,HS,EWS,Gender-Neutral,AF,174660,174660
Round 1,Lloyd Institute Of Engineering And Technology,Computer Science & Engineering (Cyber Security),HS,OPEN,Gender-Neutral,,366561,1462524
Round 1,"Shivdan Singh Institute Of Technology & Management,Aligarh",Computer Science And Engineering(Artificial Intelligence & Machine Learning),HS,OPEN,Gender-Neutral,,505723,1254635
Round 1,"G.L. Bajaj Institute Of Technology & Management,Gautam Buddh Nagar",Mechanical Engineering,HS,OBC-NCL,Gender-Neutral,,600244,1288239
Round 1,"Modern College, Jhansi",Artificial Intelligence And Machine Learning,HS,OPEN,Gender-Neutral,,543477,543477
Round 1,"M. J. P. Ruhelkhand University, Bareilly",Electrical Engineering,HS,SC,Gender-Neutral,,991009,1281719
Round 1,"Kamla Nehru Institute Of Technology,Sultanpur",Information Technology,HS,SC,Gender-Neutral,AF,624827,624827
Round 1,Lloyd Institute Of Engineering And Technology,Electronics and Communication Engineering,HS,OPEN,Gender-Neutral,,998685,1301639
Round 1,"Aligarh College Of Engg. & Tech,Aligarh",Electronics and Communication Engineering,HS,OPEN,Gender-Neutral,,757232,843219
Round 1,"Jms Institute Of Technology, Ghaziabad",Computer Science And Engineering(Artificial Intelligence & Machine Learning),HS,OPEN,Gender-Neutral,,769008,1466634
Round 1,"United College Of Engineering & Research,Allahabad",Electronics and Communication Engineering,HS,OPEN,Female-only (including Supernumerary),,336143,470537
Round 1,"Institute Of Engg. & Rural Technology,Allahabad",Industrial Production Engineering,HS,OPEN,Female-only (including Supernumerary),,840792,1386687
Round 1,"Meerut Institute Of Engineering & Technology,Meerut",Computer Science And Engineering(Artificial Intelligence & Machine Learning),HS,SC,Female-only (including Supernumerary),,931657,931657
Round 1,"Greater Noida Institute Of Technology,Gautam Buddh Nagar",Computer Science and Engineering,HS,SC,Gender-Neutral,,718655,1181247
Round 1,Ch. Charan Singh University Campus (Scriet) Meerut,Computer Science,HS,OBC-NCL,Gender-Neutral,FF,1330567,1330567
